cell_height,light_count,lamp_count,light_device,lamp_type,light_power,time,days,marker
,7,2,светильники стационарные общего назначения,Т8,36,6,299,
,1,2,светильники стационарные общего назначения,Т8,36,6,299,
,4,,светильник светодиодный РРL595/U,SMD2835,36,6,299,
,8,,Светильник светодиодный универсальный VLSU-36-4000,SMD2835,36,6,299,
,5,,светильник светодиодный РРL595/U,SMD2835,36,6,299,
,3,,светильник светодиодный РРL595/U,SMD2835,36,6,299,
,2,,Светильник светодиодный универсальный VLSU-36-4000,SMD2835,36,6,299,
,,,,,,,,
,9,9,точечный светильник,светодиод.,12,6,296,1-й этаж
,4,8,панель светодиодная NRLP-eco,светодиод.,12,6,296,
,18,,панель светодиодная NRLP-eco,светодиод.,12,24,296,
,7,,панель светодиодная NRLP-eco,светодиод.,24,11,296,
,6,2,ССП-456,светодиод.,12,24,365,
,4,2,ССП-456,светодиод.,12,20,365,
,2,2,ССП-456,светодиод.,12,20,365,
,8,,панель светодиодная NRLP-eco,светодиод.,36,20,296,
,4,,панель светодиодная NRLP-eco,светодиод.,36,20,296,
,3,3,ССП-456,светодиод.,12,20,296,
,4,4,е-27 led,светодиод.,12,20,365,
,4,6,ССП-456  и е-27 led,светодиод.,12,24,365,
,2,4,светильник ARS/R 418,люм.,72,20,246,
,14,2,ССП-456,светодиод.,12,20,365,
,2,2,е-27 led,светодиод.,12,11,296,
,8,4,светодиодная панель LED,светодиод.,36,3,265,
,11,,светодиодная панель LED,светодиод.,36,10,296,
,19,2,ССП-456,светодиод.,36,20,365,
,7,,светодиодная панель LED,светодиод.,36,20,246,
,11,2,е-27 led,светодиод.,12,24,365,
,17,2,ССП-456,светодиод.,36,20,365,2-й этаж
,8,1,точечные светильники,светодиод.,12,20,365,
,8,1,е-27 led,светодиод.,12,15,365,
,3,2,ССП-456,светодиод.,36,15,365,
,4,2,светильник ARS/R 418,люм.,72,10,296,
,3,2,ССП-456,светодиод.,36,8,296,
,5,2,ССП-456,светодиод.,36,10,296,
,3,1,е-27 led,светодиод.,12,10,296,
,11,2,ССП-456,светодиод.,36,5,365,
,8,2,ССП-456,светодиод.,36,5,296,
,3,2,ССП-456,светодиод.,36,7,296,
,2,4,светильник ARS/R 418,люм.,72,5,296,
,6,4,светильник ARS/R 418,люм.,72,18,365,
,29,1,е-27 led,светодиод.,12,18,365,
,10,1,точечный светильник,светодиод.,36,8,296,марка не известна
,4,2,ССП-456,светодиод.,36,8,296,
,12,2,е-27 led,светодиод.,12,8,296,
,2,2,светильник (марка не известна),люм.,2,2,296,
,9,3,ССП-456,светодиод.,36,10,365,3 этаж
,11,2,светодиодная панель LED,светодиод.,36,10,365,
,5,1,точечный светильник,светодиод.,12,15,365,
,6,1,е-27 led,светодиод.,12,15,365,
,5,1,е-27 led,светодиод.,12,8,365,
,2,2,ССП-456,светодиод.,36,5,365,
,6,2,ССП-456,светодиод.,36,5,296,
,52,52,е-27 led,светодиод.,12,12,365,
,18,4,светильник ARS/R 418,люм.,72,10,296,
,16,2,ССП-456,светодиод.,12,10,296,
,2,2,ССП-456,светодиод,12,5,296,
,42,1,е-27 led,светодиод.,12,5,296,
,21,4,светодиодная панель LED,светодиод.,36,12,365,4-й этаж
,12,1,е-27 led,светодиод.,12,10,365,
,3,2,ССП-456,светодиод.,36,12,296,
,13,2,светодиодная панель LED,светодиод.,36,10,296,
,20,2,ССП-456,светодиод.,36,12,365,
,21,1,е-27 led,светодиод,12,10,365,
,2,2,ССП-456,светодиод.,36,10,365,
,2,4,светильник ARS/R 418,люм.,72,10,296,
,1,1,е-27 led,светодиод.,12,8,365,
,3,2,ССП-456,светодиод.,36,5,365,
,,,ССП-456,светодиод.,36,5,365,
,3,1,е-27 led,светодиод.,12,10,296,5-йэтаж
,3,2,ССП-456,светодиод.,36,10,296,
,6,4,светильник ARS/R 418,люм.,72,8,365,
,3,4,светильник ARS/R 418,люм.,72,8,365,
,5,2,ССП-456,светодиод.,36,8,365,
,3,,светодиодная панель LED,светодиод.,36,10,296,
,3,2,светильник (марка не известна),люм.,120,10,296,
,2,2,е-27 led,светодиод.,12,10,296,
,3,2,светодиодная панель LED,светодиод.,36,5,365,
,5,1,е-27 led,светодиод.,12,5,365,
,4,2,ССП-456,светодиод.,36,10,365,
,2,4,светильник ARS/R 418,люм.,72,10,365,
,4,4,ССП-456,светодиод.,36,10,365,
,2,2,ССП-456,светодиод.,36,8,365,
,4,1,е-27 led,светодиод.,12,10,365,
,6,1,е-27 led,светодиод.,12,8,365,
,18,2,ССП-456,светодиод.,36,8,365,
,4,2,светильник ARS/R 418,люм.,72,8,296,цоколь
,2,1,е-27 led,светодиод.,12,8,296,
,4,1,е-27 led,светодиод.,12,4,296,
,4,2,ССП-456,светодиод.,36,4,296,
,9,9,точечный светильник,светодиод.,12,6,296,1-й этаж
,4,8,панель светодиодная NRLP-eco,светодиод.,12,6,296,
,18,,панель светодиодная NRLP-eco,светодиод.,12,24,296,
,7,,панель светодиодная NRLP-eco,светодиод.,24,11,296,
,6,2,ССП-456,светодиод.,12,24,365,
,4,2,ССП-456,светодиод.,12,20,365,
,2,2,ССП-456,светодиод.,12,20,365,
,8,,панель светодиодная NRLP-eco,светодиод.,36,20,296,
,4,,панель светодиодная NRLP-eco,светодиод.,36,20,296,
,3,3,ССП-456,светодиод.,12,20,296,
,4,4,е-27 led,светодиод.,12,20,365,
,4,6,ССП-456  и е-27 led,светодиод.,12,24,365,
,2,4,светильник ARS/R 418,люм.,72,20,246,
,14,2,ССП-456,светодиод.,12,20,365,
,2,2,е-27 led,светодиод.,12,11,296,
,8,4,светодиодная панель LED,светодиод.,36,3,265,
,11,,светодиодная панель LED,светодиод.,36,10,296,
,19,2,ССП-456,светодиод.,36,20,365,
,7,,светодиодная панель LED,светодиод.,36,20,246,
,11,2,е-27 led,светодиод.,12,24,365,
,17,2,ССП-456,светодиод.,36,20,365,2-й этаж
,8,1,точечные светильники,светодиод.,12,20,365,
,8,1,е-27 led,светодиод.,12,15,365,
,3,2,ССП-456,светодиод.,36,15,365,
,4,2,светильник ARS/R 418,люм.,72,10,296,
,3,2,ССП-456,светодиод.,36,8,296,
,5,2,ССП-456,светодиод.,36,10,296,
,3,1,е-27 led,светодиод.,12,10,296,
,11,2,ССП-456,светодиод.,36,5,365,
,8,2,ССП-456,светодиод.,36,5,296,
,3,2,ССП-456,светодиод.,36,7,296,
,2,4,светильник ARS/R 418,люм.,72,5,296,
,6,4,светильник ARS/R 418,люм.,72,18,365,
,29,1,е-27 led,светодиод.,12,18,365,
,10,1,точечный светильник,светодиод.,36,8,296,марка не известна
,4,2,ССП-456,светодиод.,36,8,296,
,12,2,е-27 led,светодиод.,12,8,296,
,2,2,светильник (марка не известна),люм.,2,2,296,
,9,3,ССП-456,светодиод.,36,10,365,3 этаж
,11,2,светодиодная панель LED,светодиод.,36,10,365,
,5,1,точечный светильник,светодиод.,12,15,365,
,6,1,е-27 led,светодиод.,12,15,365,
,5,1,е-27 led,светодиод.,12,8,365,
,2,2,ССП-456,светодиод.,36,5,365,
,6,2,ССП-456,светодиод.,36,5,296,
,52,52,е-27 led,светодиод.,12,12,365,
,18,4,светильник ARS/R 418,люм.,72,10,296,
,16,2,ССП-456,светодиод.,12,10,296,
,2,2,ССП-456,светодиод,12,5,296,
,42,1,е-27 led,светодиод.,12,5,296,
,21,4,светодиодная панель LED,светодиод.,36,12,365,4-й этаж
,12,1,е-27 led,светодиод.,12,10,365,
,3,2,ССП-456,светодиод.,36,12,296,
